scope,accuracy,precision,recall,f1,balanced_accuracy,f1_macro,mcc,roc_auc,tn,fp,fn,tp,group,approach,dataset_type,model_name,ticker
outer_fold,0.4810810810810811,0.49606299212598426,0.6631578947368421,0.5675675675675675,0.47602339181286546,0.45945945945945943,-0.05166363293874434,0.5327485380116959,26,64,32,63,1.0,add_news_abs_sentiment,hybrid,hist_gradient_boosting,TSLA
outer_fold,0.483695652173913,0.4755244755244755,0.7727272727272727,0.5887445887445888,0.49573863636363635,0.44765696590514115,-0.01023047024891636,0.5441524621212122,21,75,20,68,2.0,add_news_abs_sentiment,hybrid,hist_gradient_boosting,TSLA
outer_fold,0.5,0.5363636363636364,0.59,0.5619047619047619,0.49142857142857144,0.48981314044605184,-0.017414485443569765,0.5296428571428571,33,51,41,59,3.0,add_news_abs_sentiment,hybrid,hist_gradient_boosting,TSLA
global,0.4972875226039783,0.5275779376498801,0.7308970099667774,0.6128133704735376,0.47457548911037284,0.4481592625563564,-0.05880694777086637,0.4557691293571692,55,197,81,220,,add_news_abs_sentiment,hybrid,logistic_regression,AAPL
outer_fold,0.5621621621621622,0.5548780487804879,0.9191919191919192,0.6920152091254753,0.5351773549447968,0.4675029316655414,0.11061866886922966,0.4743951139299977,13,73,8,91,1.0,add_news_abs_sentiment,hybrid,logistic_regression,AAPL
outer_fold,0.46195652173913043,0.5064935064935064,0.7722772277227723,0.611764705882353,0.4283072885601813,0.36782925559604374,-0.1931451231415388,0.42777048789216277,7,76,23,78,2.0,add_news_abs_sentiment,hybrid,logistic_regression,AAPL
outer_fold,0.4673913043478261,0.5151515151515151,0.504950495049505,0.51,0.4633186210187284,0.4633333333333334,-0.07322313560125887,0.45246331862101874,35,48,50,51,3.0,add_news_abs_sentiment,hybrid,logistic_regression,AAPL
global,0.5045207956600362,0.5547445255474452,0.5,0.5259515570934256,0.5050200803212852,0.5035060815770158,0.00999078800793034,0.5060901500739801,127,122,152,152,,add_news_abs_sentiment,hybrid,logistic_regression,MSFT
outer_fold,0.4918918918918919,0.5486725663716814,0.5904761904761905,0.5688073394495413,0.4764880952380952,0.4751931434089812,-0.04778064220123391,0.49464285714285716,29,51,43,62,1.0,add_news_abs_sentiment,hybrid,logistic_regression,MSFT
outer_fold,0.5163043478260869,0.5283018867924528,0.5894736842105263,0.5572139303482587,0.5138379657007688,0.5121398993058659,0.027987159152046966,0.4714370195150799,39,50,39,56,2.0,add_news_abs_sentiment,hybrid,logistic_regression,MSFT
outer_fold,0.5054347826086957,0.6181818181818182,0.3269230769230769,0.4276729559748428,0.5322115384615385,0.4961331287051247,0.06976328568600197,0.5716346153846155,59,21,70,34,3.0,add_news_abs_sentiment,hybrid,logistic_regression,MSFT
global,0.4972875226039783,0.5565217391304348,0.42105263157894735,0.4794007490636704,0.5057070386810399,0.4966933815248422,0.011521581545468684,0.5181515535827521,147,102,176,128,,add_news_abs_sentiment,hybrid,logistic_regression,NVDA
outer_fold,0.5459459459459459,0.6146788990825688,0.6146788990825688,0.6146788990825688,0.5310236600676002,0.5310236600676002,0.06204732013520039,0.5143650410429744,34,42,42,67,1.0,add_news_abs_sentiment,hybrid,logistic_regression,NVDA
outer_fold,0.4782608695652174,0.4880952380952381,0.43617021276595747,0.4606741573033708,0.47919621749408986,0.47770549970431697,-0.041755899047406855,0.5069739952718676,47,43,53,41,2.0,add_news_abs_sentiment,hybrid,logistic_regression,NVDA
outer_fold,0.4673913043478261,0.5405405405405406,0.19801980198019803,0.2898550724637681,0.4966002624358822,0.4318840579710145,-0.008441421636662855,0.5300011928903734,66,17,81,20,3.0,add_news_abs_sentiment,hybrid,logistic_regression,NVDA
global,0.5099457504520796,0.5158730158730159,0.6890459363957597,0.5900151285930408,0.505634079308991,0.4905131822740485,0.012110529373002986,0.5106137940060201,87,183,88,195,,add_news_abs_sentiment,hybrid,logistic_regression,TSLA
outer_fold,0.518918918918919,0.51875,0.8736842105263158,0.6509803921568628,0.5090643274853801,0.43853367433930096,0.026504440762199814,0.5184795321637427,13,77,12,83,1.0,add_news_abs_sentiment,hybrid,logistic_regression,TSLA
outer_fold,0.532608695652174,0.5072463768115942,0.7954545454545454,0.6194690265486725,0.5435606060606061,0.5069176118658856,0.10050378152592121,0.5600142045454546,28,68,18,70,2.0,add_news_abs_sentiment,hybrid,logistic_regression,TSLA
